pdf_url,pdf_status_code,pdf_content_length
https://www.europarl.europa.eu/doceo/document/PV-4-1996-10-21_EN.pdf,200,63234
https://www.europarl.europa.eu/doceo/document/PV-4-1996-10-22_EN.pdf,200,51252
https://www.europarl.europa.eu/doceo/document/PV-4-1996-10-23_EN.pdf,200,103011
https://www.europarl.europa.eu/doceo/document/PV-4-1996-10-24_EN.pdf,200,56618
https://www.europarl.europa.eu/doceo/document/PV-4-1996-10-25_EN.pdf,200,35038
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-11_EN.pdf,200,53419
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-12_EN.pdf,200,67929
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-13_EN.pdf,200,56494
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-14_EN.pdf,200,56087
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-15_EN.pdf,200,24526
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-27_EN.pdf,200,41921
https://www.europarl.europa.eu/doceo/document/PV-4-1996-11-28_EN.pdf,200,38852
https://www.europarl.europa.eu/doceo/document/PV-4-1996-12-09_EN.pdf,200,45466
https://www.europarl.europa.eu/doceo/document/PV-4-1996-12-10_EN.pdf,200,70829
https://www.europarl.europa.eu/doceo/document/PV-4-1996-12-11_EN.pdf,200,43164
https://www.europarl.europa.eu/doceo/document/PV-4-1996-12-12_EN.pdf,200,87521
https://www.europarl.europa.eu/doceo/document/PV-4-1996-12-13_EN.pdf,200,43365
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-13_EN.pdf,200,10001
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-14_EN.pdf,200,20357
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-15_EN.pdf,200,76265
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-16_EN.pdf,200,38773
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-17_EN.pdf,200,28836
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-29_EN.pdf,200,43982
https://www.europarl.europa.eu/doceo/document/PV-4-1997-01-30_EN.pdf,200,26519
