date,pdf_url,pdf_status_code,pdf_content_length,html_url,html_status_code,html_content_length
1996-01-31,https://europarl.europa.eu/doceo/document/PV-4-1996-01-31_EN.pdf,200,34183,https://europarl.europa.eu/doceo/document/PV-4-1996-01-31_EN.html,200,0
1996-02-01,https://europarl.europa.eu/doceo/document/PV-4-1996-02-01_EN.pdf,200,24286,https://europarl.europa.eu/doceo/document/PV-4-1996-02-01_EN.html,200,0
1996-02-12,https://europarl.europa.eu/doceo/document/PV-4-1996-02-12_EN.pdf,200,51479,https://europarl.europa.eu/doceo/document/PV-4-1996-02-12_EN.html,200,0
1996-02-13,https://europarl.europa.eu/doceo/document/PV-4-1996-02-13_EN.pdf,200,52215,https://europarl.europa.eu/doceo/document/PV-4-1996-02-13_EN.html,200,0
1996-02-14,https://europarl.europa.eu/doceo/document/PV-4-1996-02-14_EN.pdf,200,55649,https://europarl.europa.eu/doceo/document/PV-4-1996-02-14_EN.html,200,0
1996-02-15,https://europarl.europa.eu/doceo/document/PV-4-1996-02-15_EN.pdf,200,50475,https://europarl.europa.eu/doceo/document/PV-4-1996-02-15_EN.html,200,0
1996-02-16,https://europarl.europa.eu/doceo/document/PV-4-1996-02-16_EN.pdf,200,33959,https://europarl.europa.eu/doceo/document/PV-4-1996-02-16_EN.html,200,0
1996-02-28,https://europarl.europa.eu/doceo/document/PV-4-1996-02-28_EN.pdf,200,35738,https://europarl.europa.eu/doceo/document/PV-4-1996-02-28_EN.html,200,0
1996-02-29,https://europarl.europa.eu/doceo/document/PV-4-1996-02-29_EN.pdf,200,25660,https://europarl.europa.eu/doceo/document/PV-4-1996-02-29_EN.html,200,0
1996-03-11,https://europarl.europa.eu/doceo/document/PV-4-1996-03-11_EN.pdf,200,48890,https://europarl.europa.eu/doceo/document/PV-4-1996-03-11_EN.html,200,0
1996-03-12,https://europarl.europa.eu/doceo/document/PV-4-1996-03-12_EN.pdf,200,60255,https://europarl.europa.eu/doceo/document/PV-4-1996-03-12_EN.html,200,0
1996-03-13,https://europarl.europa.eu/doceo/document/PV-4-1996-03-13_EN.pdf,200,106561,https://europarl.europa.eu/doceo/document/PV-4-1996-03-13_EN.html,200,0
1996-03-14,https://europarl.europa.eu/doceo/document/PV-4-1996-03-14_EN.pdf,200,101435,https://europarl.europa.eu/doceo/document/PV-4-1996-03-14_EN.html,200,0
1996-03-15,https://europarl.europa.eu/doceo/document/PV-4-1996-03-15_EN.pdf,200,26100,https://europarl.europa.eu/doceo/document/PV-4-1996-03-15_EN.html,200,0
1996-03-27,https://europarl.europa.eu/doceo/document/PV-4-1996-03-27_EN.pdf,200,53729,https://europarl.europa.eu/doceo/document/PV-4-1996-03-27_EN.html,200,0
1996-03-28,https://europarl.europa.eu/doceo/document/PV-4-1996-03-28_EN.pdf,200,34330,https://europarl.europa.eu/doceo/document/PV-4-1996-03-28_EN.html,200,0
1996-04-15,https://europarl.europa.eu/doceo/document/PV-4-1996-04-15_EN.pdf,200,62290,https://europarl.europa.eu/doceo/document/PV-4-1996-04-15_EN.html,200,0
1996-04-16,https://europarl.europa.eu/doceo/document/PV-4-1996-04-16_EN.pdf,200,55066,https://europarl.europa.eu/doceo/document/PV-4-1996-04-16_EN.html,200,0
1996-04-17,https://europarl.europa.eu/doceo/document/PV-4-1996-04-17_EN.pdf,200,49814,https://europarl.europa.eu/doceo/document/PV-4-1996-04-17_EN.html,200,0
1996-04-18,https://europarl.europa.eu/doceo/document/PV-4-1996-04-18_EN.pdf,200,59807,https://europarl.europa.eu/doceo/document/PV-4-1996-04-18_EN.html,200,0
1996-04-19,https://europarl.europa.eu/doceo/document/PV-4-1996-04-19_EN.pdf,200,27909,https://europarl.europa.eu/doceo/document/PV-4-1996-04-19_EN.html,200,0
1996-05-08,https://europarl.europa.eu/doceo/document/PV-4-1996-05-08_EN.pdf,200,43596,https://europarl.europa.eu/doceo/document/PV-4-1996-05-08_EN.html,200,0
1996-05-09,https://europarl.europa.eu/doceo/document/PV-4-1996-05-09_EN.pdf,200,32667,https://europarl.europa.eu/doceo/document/PV-4-1996-05-09_EN.html,200,0
1996-05-20,https://europarl.europa.eu/doceo/document/PV-4-1996-05-20_EN.pdf,200,92582,https://europarl.europa.eu/doceo/document/PV-4-1996-05-20_EN.html,200,0
